"Id";"Name";"Resources";"Start";"End";"Effort";"Duration";"Completion"
"AN_ROLES";"AN новые роли: роли/права/матрица";"Analyst 1 (A1)";"2026-03-30";"2026-04-01";2.0;2.0;"0%"
"AN_ART_BE";"AN артефакты (BE): модель/контракты/права";"Analyst 2 (A2)";"2026-03-30";"2026-04-01";2.0;2.0;"0%"
"QA_SETUP";"QA подготовка (тест-план, тестовые данные, стенд)";"QA (Q1)";"2026-03-30";"2026-04-02";3.0;3.0;"0%"
"BE_ART";"BE артефакты (ссылки на документы) - БД + API";"Backend Dev 2 (B2)";"2026-04-01";"2026-04-05";3.0;4.0;"0%"
"AN_FE_PILOT_ART";"AN блок артефактов (FE): пилоты";"Analyst 2 (A2)";"2026-04-01";"2026-04-03";2.0;2.0;"0%"
"AN_AP_CORE";"AN процесс согласования/утверждения (BE core)";"Analyst 1 (A1)";"2026-04-01";"2026-04-04";3.0;3.0;"0%"
"AN_FE_SIM_ART";"AN блок артефактов (FE): симуляции";"Analyst 2 (A2)";"2026-04-03";"2026-04-05";1.0;2.0;"0%"
"AN_PILOT_LC_AP";"AN ЖЦ пилота: согласование/утверждение (BE)";"Analyst 2 (A2)";"2026-04-05";"2026-04-07";1.0;2.0;"0%"
"FE_PILOT_ART";"FE пилоты - блок артефакты + UI под ЖЦ";"Frontend Dev 1 (F1)";"2026-04-06";"2026-04-13";6.0;7.4;"0%"
"FE_SIM_ART";"FE симуляции - блок артефакты";"Frontend Dev 2 (50% until 2026-05-01) (F2_50)";"2026-04-06";"2026-04-09";2.0;3.4;"0%"
"BE_AP_CORE";"BE процесс согласования и утверждения - БД+логика";"Backend Dev 1 (B1)";"2026-04-06";"2026-05-06";13.0;30.4;"0%"
"AN_AP_PAGE_BE";"AN страница ""Согласования"" (BE): контракты/фильтры/действия";"Analyst 1 (A1)";"2026-04-06";"2026-04-07";2.0;1.4;"0%"
"AN_AP_PAGE_FE";"AN страница ""Согласования"" (FE): UX/компоненты/edge-cases";"Analyst 2 (A2)";"2026-04-07";"2026-04-09";2.0;2.0;"0%"
"AN_PKG_BE";"AN страница ""Пакеты"" (BE): контракты/массовые действия";"Analyst 1 (A1)";"2026-04-07";"2026-04-09";2.0;2.0;"0%"
"AN_PKG_FE";"AN страница ""Пакеты"" (FE): UX/компоненты/edge-cases";"Analyst 2 (A2)";"2026-04-10";"2026-04-13";2.0;3.4;"0%"
"FE_AP_PAGE";"FE страница ""Согласования""";"Frontend Dev 1 (F1)";"2026-04-14";"2026-04-30";13.0;16.4;"0%"
"FE_PKG_PAGE";"FE страница ""Пакеты""";"Frontend Dev 2 (50% until 2026-05-01) (F2_50)";"2026-04-14";"2026-05-21";13.0;37.4;"0%"
"AN_DEP_BE";"AN внедрения (BE): модель/контракты/права";"Analyst 1 (A1)";"2026-04-14";"2026-04-15";2.0;1.4;"0%"
"QA_ART";"QA Артефакты";"QA (Q1)";"2026-04-14";"2026-04-16";3.0;2.4;"0%"
"BE_DEP_API";"BE внедрения - БД+API";"Backend Dev 3 (B3)";"2026-04-15";"2026-04-19";2.0;4.0;"0%"
"AN_DEP_LC";"AN ЖЦ внедрений (BE)";"Analyst 2 (A2)";"2026-04-15";"2026-04-17";2.0;2.0;"0%"
"AN_SC_BE";"AN скоркарты (BE): модель/шаблоны/валидаторы";"Analyst 1 (A1)";"2026-04-15";"2026-04-17";2.0;2.0;"0%"
