"Id";"Name";"Resources";"Start";"End";"Effort";"Duration";"Completion"
"AN_SIM_SNAP_CFG_FACT";"AN аналитика симуляции снепшотов конфигурации";"Unassigned Analytics (TBD_AN)";"2026-03-27";"2026-04-17";15.0;21.0;"40%"
"AN_ROLES";"AN новые роли: роли/права/матрица";"Analyst 2 (A2)";"2026-03-30";"2026-03-31";1.0;1.0;"100%"
"AN_ART_BE";"AN артефакты (BE): модель/контракты/права";"Analyst 2 (A2)";"2026-03-31";"2026-04-01";1.0;1.0;"100%"
"BE_ART";"BE артефакты (ссылки на документы) - БД + API";"Backend Dev 2 (B2)";"2026-04-01";"2026-04-04";3.0;3.0;"100%"
"AN_FE_PILOT_ART";"AN блок артефактов (FE): пилоты";"Analyst 2 (A2)";"2026-04-01";"2026-04-02";1.0;1.0;"100%"
"AN_PILOT_LC_AP";"AN ЖЦ пилота: согласование/утверждение (BE)";"Analyst 3 (A3)";"2026-04-01";"2026-04-02";1.0;1.0;"100%"
"AN_FE_SIM_ART";"AN блок артефактов (FE): симуляции";"Analyst 2 (A2)";"2026-04-02";"2026-04-03";1.0;1.0;"100%"
"AN_AP_CORE";"AN процесс согласования/утверждения (BE core)";"Analyst 3 (A3)";"2026-04-03";"2026-04-05";1.0;2.0;"80%"
"RSCON_2343";"RSCON-2343 BE Сущность скоркарты";"Backend Dev 2 (B2)";"2026-04-03";"2026-04-08";2.0;5.0;"100%"
"AN_RISK_TABLE_FACT";"AN аналитика табличных риск-параметров";"Analyst 2 (A2)";"2026-04-03";"2026-04-12";6.0;9.0;"80%"
"FE_PILOT_ART";"FE пилоты - блок артефакты + UI под ЖЦ";"";"2026-04-06";"2026-04-10";0.0;4.0;"100%"
"RSCON_2346";"RSCON-2346 FE список внедрений";"Frontend Dev 1 (F1)";"2026-04-06";"2026-04-10";5.0;4.4;"100%"
"RSCON_2342";"RSCON-2342 BE Оценка критичности + шаблоны для скоркарт";"Backend Dev 3 (B3)";"2026-04-07";"2026-04-11";4.0;4.0;"70%"
"RSCON_2340";"RSCON-2340 FE Создание скоркарты (вручную) + наполнение вкладки скоркарт";"Frontend Dev 2 (F2)";"2026-04-08";"2026-04-18";8.0;10.0;"30%"
"AN_PKG_BE";"AN страница ""Пакеты"" (BE): контракты/массовые действия";"Analyst 3 (A3)";"2026-04-09";"2026-04-10";1.0;1.0;"80%"
"AN_TRACE_BE";"AN Trace (BE): модель связей/запросы/производительность";"Analyst 1 (A1)";"2026-04-09";"2026-04-09";1.0;0.4;"100%"
"FE_SIM_ART";"FE симуляции - блок артефакты";"";"2026-04-10";"2026-04-11";0.0;1.0;"100%"
"AN_PKG_FE";"AN страница ""Пакеты"" (FE): UX/компоненты/edge-cases";"Analyst 3 (A3)";"2026-04-10";"2026-04-11";1.0;1.0;"80%"
"RSCON_2344";"RSCON-2344 BE Привязка скоркарты";"Backend Dev 2 (B2)";"2026-04-10";"2026-04-11";1.0;1.0;"100%"
"AN_TRACE_FE";"AN Trace (FE): виджет блока связей";"Analyst 1 (A1)";"2026-04-10";"2026-04-10";1.0;0.4;"100%"
"AN_AP_PAGE_BE";"AN страница ""Согласования"" (BE): контракты/фильтры/действия";"Analyst 1 (A1)";"2026-04-13";"2026-04-13";1.0;0.4;"0%"
"RSCON_2349";"RSCON-2349 BE внедрений БД + API";"Unassigned BE (TBD_BE)";"2026-04-13";"2026-04-16";3.0;3.0;"0%"
"RSCON_2347";"RSCON-2347 FE детальная внедрения";"Unassigned FE (TBD_FE)";"2026-04-13";"2026-04-18";5.0;5.0;"0%"
"AN_AP_PAGE_FE";"AN страница ""Согласования"" (FE): UX/компоненты/edge-cases";"Analyst 2 (A2)";"2026-04-16";"2026-04-17";1.0;1.0;"0%"
"RSCON_2410";"RSCON-2410 BE ЖЦ внедрений";"Unassigned BE (TBD_BE)";"2026-04-16";"2026-04-21";3.0;5.0;"0%"
"AN_NOT";"AN уведомления: шаблоны/триггеры/получатели";"Analyst 2 (A2)";"2026-04-17";"2026-04-18";1.0;1.0;"0%"
"RSCON_2348";"RSCON-2348 FE форма создания/редактирования внедрений";"Unassigned FE (TBD_FE)";"2026-04-20";"2026-04-25";5.0;5.0;"0%"
"BE_NOT";"BE уведомления";"Backend Dev 3 (B3)";"2026-04-21";"2026-04-24";3.0;3.0;"0%"
